Season,Week,Player,Position,Team,Opponent,Pass_Comp,Pass_Att,Pass_Yards,Pass_TD,Pass_Int,Rush_Att,Rush_Yards,Rush_TD,Rec_Targets,Rec_Recep,Rec_Yards,Rec_TD,Snapcount
2024,1,Lamar Jackson,QB,BAL,@ KC,0,0,273,1,0,16,122,0,0,0,0,0,0
2024,1,Mark Andrews,TE,BAL,@ KC,0,0,0,0,0,0,0,0,0,2,14,0,0
2024,1,Nelson Agholor,WR,BAL,@ KC,0,0,0,0,0,0,0,0,0,1,6,0,0
2024,1,Patrick Ricard,RB,BAL,@ KC,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Rasheen Ali,RB,BAL,@ KC,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Rashod Bateman,WR,BAL,@ KC,0,0,0,0,0,0,0,0,0,2,53,0,0
2024,1,Steven Sims Jr,WR,BAL,@ KC,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Tylan Wallace,WR,BAL,@ KC,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Zay Flowers,WR,BAL,@ KC,0,0,0,0,0,2,14,0,0,6,37,0,0
2024,1,Amari Cooper,WR,BUF,VS ARI,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Curtis Samuel,WR,BUF,VS ARI,0,0,0,0,0,0,0,0,0,2,15,0,0
2024,1,Dalton Kincaid,TE,BUF,VS ARI,0,0,0,0,0,0,0,0,0,1,11,0,0
